Cycling,VVG-NN1
FOR,PRP
HEALTH,NN1
Produced,VVN
in,PRP
association,NN1
with,PRP
The,AT0
Great,AJ0
British,AJ0
Bike,NN1
Ride,VVB-NN1
Along,AVP
with,PRP
jogging,NN1-VVG
and,CJC
swimming,NN1-VVG
cycling,NN1-VVG
is,VBZ
of,PRF
the,AT0
best,AJS
forms,NN2
of,PRF
exercise,NN1
It,PNP
can,VM0
help,VVI
to,TO0
build,VVI
up,AVP
your,DPS
strength,NN1
boost,VVB
your,DPS
body,NN1
suppleness,NN1
and,CJC
flexibility,NN1
and,CJC
most,AV0
important,AJ0
of,PRF
all,DT0
give,VVB
you,PNP
staying,NN1
power,NN1
by,PRP
boosting,VVG
your,DPS
stamina,NN1
AEROBICS,NP0
ON,PRP
A,AT0
SADDLE,NN1
Having,VHG
stamina,NN1
the,AT0
ability,NN1
to,TO0
keep,VVI
the,AT0
body,NN1
going,VVG
means,NN0
having,VHG
efficient,AJ0
muscles,NN2
good,AJ0
circulation,NN1
and,CJC
a,AT0
strong,AJ0
heart,NN1
Exercises,NN2
which,DTQ
are,VBB
good,AJ0
for,PRP
building,NN1
stamina,NN1
involve,VVB
moving,VVG
your,DPS
arms,NN2
or,CJC
legs,NN2
rhythmically,AV0
This,DT0
creates,VVZ
a,AT0
demand,NN1
for,PRP
oxygen,NN1
so,CJS
the,AT0
heart,NN1
works,VVZ
a,AT0
little,AV0
harder,AV0
and,CJC
the,AT0
lungs,NN2
are,VBB
fully,AV0
used,VVN-VVD
They,PNP
pump,VVB
oxygen,NN1
into,PRP
the,AT0
bloodstream,NN1
so,AV0
that,CJT
it,PNP
passes,VVZ
through,PRP
the,AT0
heart,NN1
and,CJC
reaches,VVZ
the,AT0
working,AJ0
muscles,NN2
Sometimes,AV0
this,DT0
is,VBZ
called,VVN
aerobic,AJ0
exercise,NN1
and,CJC
cycling,NN1
is,VBZ
an,AT0
excellent,AJ0
form,NN1
of,PRF
aerobics,NN2
THE,AT0
WEIGHT,NN1
OFF,PRP-AVP
YOUR,DPS
FEET,NN2
is,VBZ
not,XX0
the,AT0
only,AJ0
advantage,NN1
of,PRF
cycling,NN1-VVG
Because,CJS
you,PNP
not,XX0
carrying,VVG
the,AT0
weight,NN1
of,PRF
your,DPS
body,NN1
on,PRP
your,DPS
feet,NN2
it,PNP
a,AT0
good,AJ0
form,NN1
of,PRF
exercise,NN1
for,PRP
people,NN0
with,PRP
painful,AJ0
feet,NN2
bad,AJ0
backs,NN2
or,CJC
arthritis,NN1
And,CJC
of,PRF
course,NN1
cycling,NN1-VVG
can,VM0
save,VVI
money,NN1
and,CJC
provide,VVB
pleasure,NN1
More,AV0
and,CJC
more,DT0
people,NN0
are,VBB
taking,VVG
to,PRP
their,DPS
bikes,NN2
as,PRP
an,AT0
alternative,NN1
to,PRP
driving,VVG-AJ0
or,CJC
using,VVG
public,AJ0
transport,NN1
Whether,CJS
you,PNP
shopping,VVG
going,VVG
to,PRP
work,NN1
or,CJC
travelling,VVG-NN1
for,PRP
pleasure,NN1
it,PNP
a,AT0
lot,NN1
cheaper,AJC
and,CJC
much,AV0
healthier,AJC
You,PNP
do,VDB
have,VHI
to,TO0
pay,VVI
for,PRP
parking,NN1
or,CJC
petrol,NN1
and,CJC
it,PNP
much,AV0
quicker,AJC
than,CJS
walking,NN1-VVG
Cycling,NN1
is,VBZ
something,PNI
that,CJT
all,DT0
the,AT0
family,NN1
can,VM0
enjoy,VVI
GETTING,VVG
STARTED,VVN
With,PRP
all,DT0
forms,NN2
of,PRF
exercise,NN1
it,PNP
important,AJ0
to,TO0
start,VVI
slowly,AV0
and,CJC
build,VVI
up,AVP
gently,AV0
Doing,VDG
too,AV0
much,AV0
too,AV0
quickly,AV0
can,VM0
be,VBI
a,AT0
strain,NN1
on,PRP
muscles,NN2
and,CJC
joints,NN2
that,CJT
are,VBB
used,VVN
to,TO0
work,VVI
If,CJS
you,PNP
have,VHB
any,DT0
doubts,NN2
on,PRP
health,NN1
grounds,NN2
about,PRP
taking,VVG
up,AVP
cycling,VVG-NN1
talk,VVB-NN1
to,PRP
your,DPS
doctor,NN1
and,CJC
ask,VVB
his,DPS
advice,NN1
