JACK,NP0
FELL,VVD
DOWN,AVP
H,NP0
R,ZZ0
F,NP0
KEATING,NP0
WAS,VBD
on,PRP
the,AT0
Isle,NP0
of,PRF
Capreee,NP0
that,CJT
I,PNP
found,VVD
her,PNP
Blithely,AV0
ignoring,VVG
the,AT0
rocking,NN1
of,PRF
the,AT0
little,AJ0
steamer,NN1
in,PRP
the,AT0
lurching,AJ0-NN1
Mediterranean,AJ0
swell,NN1
the,AT0
girl,NN1
with,PRP
the,AT0
cap,NN1
of,PRF
peroxided,AJ0
hair,NN1
sitting,VVG
hatless,AJ0
on,PRP
the,AT0
wooden,AJ0
bench,NN1
right,NN1
in,PRP
the,AT0
vessel,NN1
prow,NN1
lifted,VVD
her,DPS
voice,NN1
in,PRP
sudden,AJ0
bubbling,AJ0
song,NN1
A,AT0
blurred,AJ0
blueness,NN1
in,PRP
the,AT0
distance,NN1
Capri,NP0
indeed,AV0
was,VBD
the,AT0
little,AJ0
wallowing,AJ0-NN1
tub,NN1
destination,NN1
Really,AV0
exclaimed,VVD
in,AVP-PRP
heavily,AV0
scandalized,VVD-AJ0
tones,NN2
of,PRF
the,AT0
few,DT0
other,AJ0
passengers,NN2
braving,VVG
the,AT0
last,ORD
gusts,NN2
of,PRF
a,AT0
sirocco,NN1
up,AVP
on,PRP
deck,NN1
an,AT0
Englishwoman,NN1
in,PRP
an,AT0
ample,AJ0
frock,NN1-VVB
loud,AV0-AJ0
with,PRP
different,AJ0
coloured,AJ0
daisies,NN2
But,CJC
finding,VVG
her,DPS
exclamation,NN1
had,VHD
produced,VVN
no,AT0
reaction,NN1
in,PRP
the,AT0
only,AJ0
other,AJ0
passenger,NN1
not,XX0
comfortably,AV0
below,AV0
save,VVB
in,PRP-AVP
the,AT0
stem,NN1
for,PRP
a,AT0
scatter,NN1
of,PRF
peasants,NN2
returning,VVG
with,PRP
emptied,AJ0
baskets,NN2
from,PRP
Naples,NP0
she,PNP
moved,VVD
nearer,AV0
along,PRP-AVP
the,AT0
ship,NN1
greasy,AJ0
rail,NN1
Her,DPS
target,NN1
was,VBD
an,AT0
excessively,AV0
tall,AJ0
gangling,AJ0
gentleman,NN1
not,XX0
very,AV0
suitably,AV0
clad,VVN
for,PRP
the,AT0
Mediterranean,AJ0
in,PRP
a,AT0
suit,NN1
of,PRF
gingery,AJ0
wool,NN1
with,PRP
the,AT0
trousers,NN2
ending,VVG
in,PRP-AVP
tight,AJ0-AV0
bands,NN2-VVZ
round,PRP-AVP
the,AT0
calves,NN2
He,PNP
was,VBD
leaning,VVG
against,PRP
the,AT0
rail,NN1
smoking,VVG
a,AT0
cigarette,NN1
and,CJC
staring,VVG
with,PRP
an,AT0
air,NN1
of,PRF
melancholy,NN1-AJ0
towards,PRP
the,AT0
distant,AJ0
island,NN1
Not,XX0
a,AT0
very,AV0
performance,NN1
the,AT0
ample,AJ0
beflowered,VVD-AJ0
lady,NN1
pronounced,VVD-VVN
with,PRP
a,AT0
look,NN1
of,PRF
pinched,AJ0
disapproval,NN1
in,PRP
the,AT0
direction,NN1
of,PRF
the,AT0
girl,NN1
in,PRP
the,AT0
prow,NN1
Briefly,AV0
lifting,VVG
his,DPS
cap,NN1
the,AT0
ginger,AJ0-NN1
giant,NN1
produced,VVD-VVN
in,PRP
English,NN1
a,AT0
decidedly,AV0
reply,NN1
The,AT0
large,AJ0
lady,NN1
was,VBD
not,XX0
to,TO0
be,VBI
put,VVN
off,AVP
however,AV0
Tell,VVB
me,PNP
she,PNP
said,VVD
leaning,VVG
forwards,AV0
with,PRP
a,AT0
smile,NN1
at,PRP
once,AV0
coy,AJ0
and,CJC
overwhelming,AJ0
I,PNP
must,VM0
know,VVI
Are,VBB
you,PNP
Mr,NP0
Sven,NP0
Hjerson,NP0
the,AT0
famous,AJ0
Finnish,AJ0
detective,NN1
I,PNP
mean,VVB
you,PNP
must,VM0
be,VBI
I,PNP
saw,VVD
your,DPS
picture,NN1
in,PRP
the,AT0
paper,NN1
here,AV0
just,AV0
last,ORD
week,NN1
You,PNP
been,VBN
helping,VVG
the,AT0
Vatican,NP0
in,PRP
some,DT0
mysterious,AJ0
business,NN1
or,CJC
other,AJ0
have,VHB
you,PNP
Well,AV0
madam,NN1
I,PNP
must,VM0
make,VVI
some,DT0
congratulations,NN2
to,PRP
you,PNP
You,PNP
have,VHB
as,CJS
they,PNP
are,VBB
saying,VVG
done,VDN
a,AT0
fine,AJ0
observation,NN1
Knew,VVD
I,PNP
was,VBD
right,AJ0
Generally,AV0
am,AV0
Buckley,NP0
the,AT0
name,NN1
Arabella,NP0
Buckley,NP0
Miss,VVB-NN1
You,PNP
on,PRP
another,DT0
case,NN1
eh,ITJ
The,AT0
Corpse,NN1
on,PRP
Capri,NP0
ha,ITJ
No,ITJ
no,ITJ
Sven,NP0
Hjerson,NP0
was,VBD
quick,AJ0
to,TO0
reply,VVI
It,PNP
is,VBZ
just,AV0
that,CJT-DT0
after,PRP
much,DT0
brainwork,NN1
in,PRP
Rome,NP0
I,PNP
have,VHB
thought,VVN
to,TO0
give,VVI
myself,PNX
a,AT0
little,AJ0
holiday,NN1
on,PRP
this,DT0
famous,AJ0
Capri,NP0
Island,NP0
Sight,VVB-NN1
too,AV0
famous,AJ0
